item_id,total_sales,mean_sales,std_sales,cat_id,dept_id,sales_tier
FOODS_1_026,945,0.5255839822024472,0.8946521186282372,FOODS,FOODS_1,Medium
FOODS_1_080,1396,0.7764182424916574,1.1700491867105443,FOODS,FOODS_1,Medium
FOODS_1_138,1132,0.6295884315906563,1.438268972749553,FOODS,FOODS_1,Medium
FOODS_1_160,160,0.08898776418242492,0.3845673137054478,FOODS,FOODS_1,Low
FOODS_1_198,836,0.4649610678531702,1.1535656530037925,FOODS,FOODS_1,Medium
FOODS_1_214,1427,0.7936596218020022,1.0619245555367591,FOODS,FOODS_1,Medium
FOODS_2_022,1232,0.6852057842046718,1.1551405693836936,FOODS,FOODS_2,Medium
FOODS_2_028,292,0.16240266963292546,0.49739355170675237,FOODS,FOODS_2,Low
FOODS_2_044,1409,0.7836484983314794,1.1858090757282758,FOODS,FOODS_2,Medium
FOODS_2_147,288,0.16017797552836485,0.5929791151187987,FOODS,FOODS_2,Low
FOODS_2_261,362,0.20133481646273638,0.5195760420396582,FOODS,FOODS_2,Low
FOODS_2_276,25171,13.99944382647386,10.199266710245697,FOODS,FOODS_2,High
FOODS_2_292,249,0.13848720800889877,0.4814399919936119,FOODS,FOODS_2,Low
FOODS_2_328,319,0.1774193548387097,0.6564619192478885,FOODS,FOODS_2,Low
FOODS_2_380,3780,2.1023359288097887,3.2220002453481214,FOODS,FOODS_2,High
FOODS_2_398,1121,0.6234705228031145,1.1264240461974415,FOODS,FOODS_2,Medium
FOODS_3_076,6901,3.838153503893215,3.869742123330137,FOODS,FOODS_3,High
FOODS_3_114,843,0.4688542825361513,1.2284323745957433,FOODS,FOODS_3,Medium
FOODS_3_120,57838,32.16796440489433,33.76598963551206,FOODS,FOODS_3,High
FOODS_3_141,1254,0.6974416017797553,0.9866691383228459,FOODS,FOODS_3,Medium
FOODS_3_147,601,0.3342602892102336,1.2203317387867942,FOODS,FOODS_3,Medium
FOODS_3_184,5086,2.828698553948832,2.5388729764063114,FOODS,FOODS_3,High
FOODS_3_192,1451,0.807007786429366,1.4051403568006844,FOODS,FOODS_3,Medium
FOODS_3_217,8438,4.692992213570634,2.610553013251747,FOODS,FOODS_3,High
FOODS_3_268,676,0.3759733036707453,0.8353094144527781,FOODS,FOODS_3,Medium
FOODS_3_284,155,0.08620689655172414,0.34640849968758797,FOODS,FOODS_3,Low
FOODS_3_371,164,0.09121245828698554,0.38693260061467916,FOODS,FOODS_3,Low
FOODS_3_605,835,0.46440489432703,0.9574189453210792,FOODS,FOODS_3,Medium
FOODS_3_642,597,0.332035595105673,0.730439508236686,FOODS,FOODS_3,Medium
FOODS_3_706,1656,0.9210233592880979,1.88376558983614,FOODS,FOODS_3,Medium
FOODS_3_716,3199,1.779199110122358,2.099280694934836,FOODS,FOODS_3,High
FOODS_3_733,1024,0.5695216907675195,1.712309324067277,FOODS,FOODS_3,Medium
FOODS_3_768,1524,0.8476084538375973,1.857806210456351,FOODS,FOODS_3,Medium
FOODS_3_772,4923,2.7380422691879867,3.7014050715985407,FOODS,FOODS_3,High
HOBBIES_1_014,2174,1.2091212458286986,1.5213872084900537,HOBBIES,HOBBIES_1,High
HOBBIES_1_026,4,0.002224694104560623,0.07456459115851491,HOBBIES,HOBBIES_1,Low
HOBBIES_1_029,2598,1.4449388209121246,1.4796051721220198,HOBBIES,HOBBIES_1,High
HOBBIES_1_056,1401,0.7791991101223582,1.4517546512603559,HOBBIES,HOBBIES_1,Medium
HOBBIES_1_072,1041,0.5789766407119021,0.9063816648219956,HOBBIES,HOBBIES_1,Medium
HOBBIES_1_084,1584,0.8809788654060067,1.07548425173761,HOBBIES,HOBBIES_1,Medium
HOBBIES_1_097,1054,0.5862068965517241,0.7788730679651095,HOBBIES,HOBBIES_1,Medium
HOBBIES_1_098,792,0.44048943270300334,0.7560302442840778,HOBBIES,HOBBIES_1,Medium
HOBBIES_1_108,1957,1.0884315906562847,1.2957143040206296,HOBBIES,HOBBIES_1,High
HOBBIES_1_149,1409,0.7836484983314794,1.0333448037808122,HOBBIES,HOBBIES_1,Medium
HOBBIES_1_160,655,0.364293659621802,0.6384052774263458,HOBBIES,HOBBIES_1,Medium
HOBBIES_1_173,827,0.4599555061179088,0.7882755198413353,HOBBIES,HOBBIES_1,Medium
HOBBIES_1_178,15090,8.39265850945495,9.749984891968507,HOBBIES,HOBBIES_1,High
HOBBIES_1_198,1198,0.6662958843159066,1.0330588782099412,HOBBIES,HOBBIES_1,Medium
HOBBIES_1_199,339,0.1885428253615128,0.5715787536957401,HOBBIES,HOBBIES_1,Low
HOBBIES_1_232,762,0.42380422691879865,1.681524399665687,HOBBIES,HOBBIES_1,Medium
HOBBIES_1_243,262,0.1457174638487208,0.41922499478893077,HOBBIES,HOBBIES_1,Low
HOBBIES_1_273,449,0.2497219132369299,0.5108041719043086,HOBBIES,HOBBIES_1,Low
HOBBIES_1_277,1631,0.907119021134594,1.6233358203414028,HOBBIES,HOBBIES_1,Medium
HOBBIES_1_287,1440,0.8008898776418243,1.1051351217303749,HOBBIES,HOBBIES_1,Medium
HOBBIES_1_288,7090,3.943270300333704,6.555962320092959,HOBBIES,HOBBIES_1,High
HOBBIES_1_313,1957,1.0884315906562847,1.2622112229909996,HOBBIES,HOBBIES_1,High
HOBBIES_1_330,1803,1.0027808676307008,1.2314253983803523,HOBBIES,HOBBIES_1,High
HOBBIES_1_372,1202,0.6685205784204672,1.02131928405768,HOBBIES,HOBBIES_1,Medium
HOBBIES_1_374,1219,0.6779755283648499,1.1050921321029592,HOBBIES,HOBBIES_1,Medium
HOBBIES_1_413,1209,0.6724137931034483,1.064960653346576,HOBBIES,HOBBIES_1,Medium
HOBBIES_1_415,1814,1.0088987764182424,1.218905431326004,HOBBIES,HOBBIES_1,High
HOBBIES_1_418,554,0.3081201334816463,0.7692263695406206,HOBBIES,HOBBIES_1,Low
HOBBIES_2_029,715,0.39766407119021135,0.9199060551521058,HOBBIES,HOBBIES_2,Medium
HOBBIES_2_088,641,0.3565072302558398,0.7348843561543722,HOBBIES,HOBBIES_2,Medium
HOBBIES_2_111,91,0.05061179087875417,0.2609796268409892,HOBBIES,HOBBIES_2,Low
HOBBIES_2_127,141,0.07842046718576196,0.31467777207408737,HOBBIES,HOBBIES_2,Low
HOBBIES_2_131,501,0.278642936596218,0.7160610305163964,HOBBIES,HOBBIES_2,Low
HOUSEHOLD_1_048,3958,2.201334816462736,2.1523908095975792,HOUSEHOLD,HOUSEHOLD_1,High
HOUSEHOLD_1_071,3018,1.67853170189099,2.0492260471089296,HOUSEHOLD,HOUSEHOLD_1,High
HOUSEHOLD_1_095,686,0.38153503893214685,0.7054391447307853,HOUSEHOLD,HOUSEHOLD_1,Medium
HOUSEHOLD_1_137,93,0.05172413793103448,0.2649950967852197,HOUSEHOLD,HOUSEHOLD_1,Low
HOUSEHOLD_1_157,1551,0.8626251390433816,1.6150151756074125,HOUSEHOLD,HOUSEHOLD_1,Medium
HOUSEHOLD_1_219,1585,0.8815350389321468,1.4054839258518008,HOUSEHOLD,HOUSEHOLD_1,Medium
HOUSEHOLD_1_230,934,0.5194660734149055,0.9047019596216046,HOUSEHOLD,HOUSEHOLD_1,Medium
HOUSEHOLD_1_238,997,0.5545050055617352,0.9400974710754183,HOUSEHOLD,HOUSEHOLD_1,Medium
HOUSEHOLD_1_276,328,0.18242491657397109,0.4207769183366197,HOUSEHOLD,HOUSEHOLD_1,Low
HOUSEHOLD_1_292,2497,1.3887652947719689,1.7019503459094316,HOUSEHOLD,HOUSEHOLD_1,High
HOUSEHOLD_1_315,401,0.22302558398220246,0.5325084436214871,HOUSEHOLD,HOUSEHOLD_1,Low
HOUSEHOLD_1_358,1450,0.8064516129032258,1.19743864124615,HOUSEHOLD,HOUSEHOLD_1,Medium
HOUSEHOLD_1_362,1193,0.6635150166852057,0.8562275014716133,HOUSEHOLD,HOUSEHOLD_1,Medium
HOUSEHOLD_1_373,9534,5.302558398220245,3.5885652993680814,HOUSEHOLD,HOUSEHOLD_1,High
HOUSEHOLD_1_443,2703,1.503337041156841,1.7150160053430037,HOUSEHOLD,HOUSEHOLD_1,High
HOUSEHOLD_1_453,3645,2.0272525027808674,2.427772970365897,HOUSEHOLD,HOUSEHOLD_1,High
HOUSEHOLD_1_490,1783,0.9916573971078977,1.2381603702141077,HOUSEHOLD,HOUSEHOLD_1,High
HOUSEHOLD_1_502,129,0.07174638487208009,0.31626710845526124,HOUSEHOLD,HOUSEHOLD_1,Low
HOUSEHOLD_2_075,1481,0.8236929922135706,1.0605252419590665,HOUSEHOLD,HOUSEHOLD_2,Medium
HOUSEHOLD_2_103,258,0.14349276974416017,0.4519043150539603,HOUSEHOLD,HOUSEHOLD_2,Low
HOUSEHOLD_2_170,1241,0.6902113459399333,1.045020979649123,HOUSEHOLD,HOUSEHOLD_2,Medium
HOUSEHOLD_2_184,1411,0.7847608453837598,1.0685212159101172,HOUSEHOLD,HOUSEHOLD_2,Medium
HOUSEHOLD_2_245,56,0.03114571746384872,0.20599776841266648,HOUSEHOLD,HOUSEHOLD_2,Low
HOUSEHOLD_2_246,827,0.4599555061179088,0.6960484684799495,HOUSEHOLD,HOUSEHOLD_2,Medium
HOUSEHOLD_2_261,652,0.36262513904338156,0.7051635650700802,HOUSEHOLD,HOUSEHOLD_2,Medium
HOUSEHOLD_2_264,457,0.25417130144605116,0.6515439969705806,HOUSEHOLD,HOUSEHOLD_2,Low
HOUSEHOLD_2_284,908,0.5050055617352615,0.7976924671132668,HOUSEHOLD,HOUSEHOLD_2,Medium
HOUSEHOLD_2_340,317,0.17630700778642935,0.6490910894211995,HOUSEHOLD,HOUSEHOLD_2,Low
HOUSEHOLD_2_391,602,0.3348164627363737,0.6252169303808822,HOUSEHOLD,HOUSEHOLD_2,Medium
HOUSEHOLD_2_440,2008,1.1167964404894326,1.4301532089839417,HOUSEHOLD,HOUSEHOLD_2,High
HOUSEHOLD_2_479,747,0.41546162402669634,0.8194390384298701,HOUSEHOLD,HOUSEHOLD_2,Medium
HOUSEHOLD_2_485,893,0.4966629588431591,0.9900675282481541,HOUSEHOLD,HOUSEHOLD_2,Medium
HOUSEHOLD_2_500,1143,0.635706340378198,0.9100892631276162,HOUSEHOLD,HOUSEHOLD_2,Medium
